hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,,"Housekeeping service is poor. Even bathrobe and laundry bag need to be asked. Even those was asked , they still did not place them in the room later days. Room after cleaning was still dirty.Breakfast is the same every day."," Housekeeping service is poor. Even bathrobe and laundry bag need to be asked. Even those was asked , they still did not place them in the room later days. Room after cleaning was still dirty.Breakfast is the same every day.",1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,location is the best.,rooms were stinking badly. complained them thrice. no solution was given.,location is the best. rooms were stinking badly. complained them thrice. no solution was given.,1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,the restaurants in front on the hotel; the bed is ok;,expensive compared to what it is; noisy rooms; poor swimming pool; messy lobby;,the restaurants in front on the hotel; the bed is ok; expensive compared to what it is; noisy rooms; poor swimming pool; messy lobby;,1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"The housekeeping team had little complimentary hamper full of chocolates, ships and other goodies waiting for us when we reached our room after a quick check in. The hotel is located a small footbridge away from loads of cafes and restaurants. Plus the 24 hour gym is fantastic with great quality equipment along with fresh pressed juice, water bottles and clean fresh towels always stocked up. There were also 6 super fast elevators, so we never had to wait more than 10 seconds for a lift/elevator even at busy times of the day.",,"The housekeeping team had little complimentary hamper full of chocolates, ships and other goodies waiting for us when we reached our room after a quick check in. The hotel is located a small footbridge away from loads of cafes and restaurants. Plus the 24 hour gym is fantastic with great quality equipment along with fresh pressed juice, water bottles and clean fresh towels always stocked up. There were also 6 super fast elevators, so we never had to wait more than 10 seconds for a lift/elevator even at busy times of the day. ",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"location, location, location","the hotel is old, dirty and needs a complete overhaul","location, location, location the hotel is old, dirty and needs a complete overhaul",2,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,None.,Only 4 bottles of complimentary water is given. Nothing else. Noisy corridor.,None. Only 4 bottles of complimentary water is given. Nothing else. Noisy corridor.,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,,Most upsetting was i asked the reception  if there was buffet breakfast and she was quick to day no only ala carte . I than told her in the news they say hotels can Start but she still  said not yet. Her collegaue tried to say something  but she still said no. Next day we came down for brunch instead only to discover there was buffet brekkie. When they dont know they should ask and not assume. Giving a No should not be the mindset...And online prior to checking in I made a few request and had the feeling this hotel is different they will make it happen. NOt only did it not happen but our room was not beside each other ..was opposite few rooms away..as a parent it felt safer to have my kids next door.  Bathtub request also not fulfilled. The so called sofa in the room we tot we could allow one kid to sleep on was not good enough..and just for only one night to pay over 60 was a bit much..seems like trying to please customer is not in the books..I feel the reviews misled me to choosing this hotel.., Most upsetting was i asked the reception  if there was buffet breakfast and she was quick to day no only ala carte . I than told her in the news they say hotels can Start but she still  said not yet. Her collegaue tried to say something  but she still said no. Next day we came down for brunch instead only to discover there was buffet brekkie. When they dont know they should ask and not assume. Giving a No should not be the mindset...And online prior to checking in I made a few request and had the feeling this hotel is different they will make it happen. NOt only did it not happen but our room was not beside each other ..was opposite few rooms away..as a parent it felt safer to have my kids next door.  Bathtub request also not fulfilled. The so called sofa in the room we tot we could allow one kid to sleep on was not good enough..and just for only one night to pay over 60 was a bit much..seems like trying to please customer is not in the books..I feel the reviews misled me to choosing this hotel..,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,amazing,nothing,amazing nothing,1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Big rooms, comfortable, great service and modern feel.","Room service came with cooking wrap over everything instead of the usual steel lids, could be a covid specific thing.","Big rooms, comfortable, great service and modern feel. Room service came with cooking wrap over everything instead of the usual steel lids, could be a covid specific thing.",2,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Not good breakfast....Western & local,Clean room,Not good breakfast....Western & local Clean room,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,location,the staff attitude,location the staff attitude,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,The short walk to boat quay,"It could have been better if breakfast is a buffet kind. First meal is free, however there is a surcharge if new meal is ordered.","The short walk to boat quay It could have been better if breakfast is a buffet kind. First meal is free, however there is a surcharge if new meal is ordered.",5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,The breakfast is good and friendly staff.,The washroom was clogged. The technician spent quite some time to clear it. The washroom was dirtied and no cleaner to clean it properly.,The breakfast is good and friendly staff. The washroom was clogged. The technician spent quite some time to clear it. The washroom was dirtied and no cleaner to clean it properly.,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"The staff were very friendly. Check-in was fast even though there was a long queue. Great view by the riverside, air conditioning is good, hot water works well. My partner and I ordered in-room dining service, food came warmly prepared within half an hour. Overall, good one night stay!",,"The staff were very friendly. Check-in was fast even though there was a long queue. Great view by the riverside, air conditioning is good, hot water works well. My partner and I ordered in-room dining service, food came warmly prepared within half an hour. Overall, good one night stay! ",2,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"The friendliness of staffs, spacious room and a upgrade to premium room! Comfort satisfaction level is very high!",The breakfast selection limited due to Covid-19. Lighting in room is a little dull.,"The friendliness of staffs, spacious room and a upgrade to premium room! Comfort satisfaction level is very high! The breakfast selection limited due to Covid-19. Lighting in room is a little dull.",2,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,The breakfast are delicious.,For me it's all nice.,The breakfast are delicious. For me it's all nice.,1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Room was excellent with being on the 20th floor I had a great view,Nothing it’s as good as it can be,Room was excellent with being on the 20th floor I had a great view Nothing it’s as good as it can be,5,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,early check in,,early check in ,1,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,"Fast check in, staff was friendly.",The location was not that accessible but not too bad. Sadly there was less bathtub room so I didn't manage to get a bathtub room. Food wasn't exactly nice and lesser option compares to other similar hotels.,"Fast check in, staff was friendly. The location was not that accessible but not too bad. Sadly there was less bathtub room so I didn't manage to get a bathtub room. Food wasn't exactly nice and lesser option compares to other similar hotels.",2,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
"Four Points by Sheraton Singapore, Riverview",169629,1.28937835,103.8366031,Simple,,Simple ,3,['8.1'],8.7,8.8,8.5,8.2,8.6,8.1,8.7
